mapped_scenario,FR07,FR07B,FR08,FR08B,FR09,FR09B,FR001B,FR005,FR004,FR006B,FR002B,FR005B,FR004B,FR006,RM04B,RM04C,RM07,RM07B,RM11B,RM09,RM09B,RM13,RMI2,RMI3,RMI5,RMI6,RM06A,RM08,RM10,RM12,RM06B,RM08B,RM10B,RM12B,RM13B,R307B,R312,R312C,R316,R305B,R305C,R316B,R319,R319B,R321,R321B,R303,R303B,R303C,R306B,R306C,R311B,R313,R313B,R314,R314B,R320,R320B,R322,R322B,R324,R324B,VD001B,VD002B,VD003B,VD003C,PT001,RL01B,PT001B,RL01C,VC001,VC001B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RMI3,RMI5,RMI6
已恢复内容列表底部原生,,,,,,,,,recovered_nav,,,,recovered_nav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
清理模块底部原生,,,,,,,,,cleaner_nav,,,,cleaner_nav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
通知管理模块底部原生,,,,,,,,,ntfm_nav,,,,ntfm_nav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
卸载挽回流程底部原生,,,,,,,,,remove_nav,,,,remove_nav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1冷启动,,,,,,,,,,,,,,,ocold,ocold,lenopen,lenopen,clopen,ctovb,ctovb,leopn,coldopen,coldopen,lqdkp,coldopen,cl_open,ccopen,coolopen,bootcool,cl_open,ccopen,coolopen,bootcool,leopn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2热启动,,,,,,,,,,,,,,,hoto,hoto,reopen,reopen,htopen,htovb,htovb,reopn,hotopen,hotopen,rqdkp,hotopen,ho_open,hhopen,hotopen,boothot,ho_open,hhopen,hotopen,boothot,reopn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3新手插屏,,,,,,,,,,,,,,,startint,startint,ydint,ydint,gdydy,ydyvb,ydyvb,ydyad,leadingint,leadint,ydyint,yyddint,ngdcp,insnewgd,closenew,popclose,ngdcp,insnewgd,closenew,popclose,ydyad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4首页进二级页,,,,,,,,,,,,,,,albbmint,albbmint,zjint,zjint,albxq,zhaivb,zhaivb,zjxqy,albumint,zhuanjiint,zjxqint,zzjjint,albcp,insabb,albumxq,albumpage,albcp,insabb,albumxq,albumpage,zjxqy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4首页进二级页,,,,,,,,,,,,,,,lllistint,lllistint,phbint,phbint,songlist,listivb,listivb,songgd,,,,,rkgcp,insrrr,listcli,listuser,rkgcp,insrrr,listcli,listuser,songgd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4首页进二级页,,,,,,,,,,,,,,,artieint,artieint,gsint,gsint,singersy,sigeivb,sigeivb,singerzy,singerint,geshouint,singerint,ggssint,secp,insatt,singercli,singeruser,secp,insatt,singercli,singeruser,singerzy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4首页进二级页,,,,,,,,,,,,,,,gennint,gennint,lpint,lpint,genelpy,gereivb,gereivb,jrlpy,,,,,stccp,inspa,stylexq,stylepage,stccp,inspa,stylexq,stylepage,jrlpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4首页进二级页,,,,,,,,,,,,,,,redhint,redhint,hxint,hxint,lovegd,fovivb,fovivb,hxlist,likedint,hongxinint,schxint,hhxxint,lkcp,insred,heartclick,likeclick,lkcp,insred,heartclick,likeclick,hxlist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
